ITEM_ID,OPC_FULLNAME,DH_BLDG,DH_ROOM,DH_TAG,ITEM_DESC,LOC_ID,COMMENTS,ENABLED,SOURCE,LAT,LON,FREQ,RETENTION
795,SCHOENBERG_B367.CHWS.FLW_CV,SCHOENBERG,B367,CHWS.FLW,CHW Flow,212,,Y,Cogen,,,15,-1
796,SCHOENBERG_B367.CHWS.RT_CV,SCHOENBERG,B367,CHWS.RT,CHW Return Temp,212,,Y,Cogen,,,15,-1
797,SCHOENBERG_B367.CHWS.ST_CV,SCHOENBERG,B367,CHWS.ST,CHW Supply Temp,212,,Y,Cogen,,,15,-1
798,SCHOENBERG-ADD_B502.STM.FLW_CV,SCHOENBERG,B502,STM.FLW,Steam Flow,212,,Y,Cogen,,,15,-1
799,SCHOENBERG-OLD_B420.STM.FLW_CV,SCHOENBERG,B420,STM.FLW,Steam Flow,212,,Y,Cogen,,,15,-1
802,SLICHTER_B843.CHWS.FLW_CV,SLICHTER,B843,CHWS.FLW,CHW Flow,213,,Y,Cogen,,,15,-1
803,SLICHTER_B843.CHWS.RT_CV,SLICHTER,B843,CHWS.RT,CHW Return Temp,213,,Y,Cogen,,,15,-1
804,SLICHTER_B843.CHWS.ST_CV,SLICHTER,B843,CHWS.ST,CHW Supply Temp,213,,Y,Cogen,,,15,-1
808,SRB1_1FL.STM.FLW_CV,NEUROSCI_RCH,1FL,STM.FLW,Steam Flow,62531,dup?,Y,Cogen,,,15,-1
809,STRB_CHW.FLW_CV,STRB,,CHWS.FLW,CHW Flow,116,,Y,,,,15,-1
810,STRB_CHW.RT_CV,STRB,,CHWS.RT,CHW Return Temp,116,,Y,,,,15,-1
811,STRB_CHW.ST_CV,STRB,,CHWS.ST,CHW Supply Temp,116,,Y,,,,15,-1
814,WMSP_CHW.RT_CV,WEST_MEDICAL,,CHWS.RT,CHW Return Temp,299,,Y,,,,15,-1
815,WMSP_CHW.ST_CV,WEST_MEDICAL,,CHWS.ST,CHW Supply Temp,299,,Y,,,,15,-1
821,YCHWRT_CV,YOUNG_HALL,WEST,CHWS.RT,CHW Return Temp,279,,Y,Cogen,,,15,-1
822,YCHWST_CV,YOUNG_HALL,WEST,CHWS.ST,CHW Supply Temp,279,,Y,Cogen,,,15,-1
823,YOUNG_B083.PCHW.RT_CV,YOUNG_HALL,B083,PCHWS.RT,Processed CHW Return Temp,279,,Y,Cogen,,,15,-1
824,YOUNG_B083.PCHW.ST_CV,YOUNG_HALL,B083,PCHWS.ST,Processed CHW Supply Temp,279,,Y,Cogen,,,15,-1
825,YPCHWF_CV,YOUNG_HALL,EAST,PCHWS.FLW,Processed CHW Flow,279,,Y,,,,15,-1
826,YSFLO_CV,YOUNG_HALL,SOUTH,STM.FLW,Steam Flow,279,,Y,Cogen,,,15,-1
1149,Powell_tunl.mtr9.cnd_CV,POWELL_LIB,TUNL,MTR9.CND,Condensate Conductivity Meter 9,240,,Y,,,,1,7
1152,CC3_CV,HEALTH_SCI,,MTR3.CND,Condensate Conductivity Meter 3,364,,Y,,,,1,7
1153,CC4_CV,HEALTH_SCI,,MTR4.CND,Condensate Conductivity Meter 4,364,,Y,,,,1,7
1154,CC5_CV,HEALTH_SCI,,MTR5.CND,Condensate Conductivity Meter 5,364,,Y,,,,1,7
1156,AGSM_B105.DWS.FLW_CV,GOLD_HALL,B105,DWS.FLW,Domestic Water Flow,85,,Y,,,,15,-1
1163,AGSM-ELE3-DINT_CV,GOLD_HALL,D105,ELE3-DINST,ElectricityDemand,85,,Y,Cogen,,,15,-1
1164,AGSM-ELE4-DINT_CV,GOLD_HALL,D105,ELE4-DINST,ElectricityDemand,85,,Y,Cogen,,,15,-1
1165,BOTANY_B-2A.XFMR-A.DMD.INST_CV,BOTANY,B-2A,XFMR-A.DMD.INST,ElectricityDemand,126,,Y,,,,15,-1
1166,BOYER_A27.XFMR-C.DMD.INST_CV,BOYER_HALL,A27,XFMR-C.DMD.INST,ElectricityDemand,97,,Y,,,,15,-1
1167,BOYER_A27.XFMR-B.DMD.INST_CV,BOYER_HALL,A27,XFMR-B.DMD.INST,ElectricityDemand,97,,Y,,,,15,-1
1168,BOYER_A27.XFMR-A.DMD.INST_CV,BOYER_HALL,A27,XFMR-A.DMD.INST,ElectricityDemand,97,,Y,,,,15,-1
1174,DENTISTRY_83-055.BPB.DMD.INST_CV,DENTISTRY,83-055,BPB.DMD.INST,,392,,Y,,,,15,-1
1175,DENTISTRY_83-055.PP.DMD.INST_CV,DENTISTRY,83-055,PP.DMD.INST,,392,,Y,,,,15,-1
1176,DENTISTRY_83-055.LP.DMD.INST_CV,DENTISTRY,83-055,LP.DMD.INST,,392,,Y,,,,15,-1
1177,DENTISTRY_B3-043.PA.DMD.INST_CV,DENTISTRY,B3-043,PA.DMD.INST,,392,,Y,,,,15,-1
1178,DENTISTRY_B3-043.LA.DMD.INST_CV,DENTISTRY,B3-043,LA.DMD.INST,,392,,Y,,,,15,-1
1179,DENTISTRY_B3-043.BPA.DMD.INST_CV,DENTISTRY,B3-043,BPA.DMD.INST,,392,,Y,,,,15,-1
1180,FACTOR_A958.XFMR-B.DMD.INST_CV,FACTOR,A958,XFMR-B.DMD.INST,ElectricityDemand,341,,Y,,,,15,-1
1181,FACTOR_A958.XFMR-A.DMD.INST_CV,FACTOR,A958,XFMR-A.DMD.INST,ElectricityDemand,341,,Y,,,,15,-1
1182,FACTOR_6-631.XFMR-C.DMD.INST_CV,FACTOR,6-631,XFMR-C.DMD.INST,ElectricityDemand,341,,Y,,,,15,-1
1183,FACTOR_15-960.XFMR-F.DMD.INST_CV,FACTOR,15-960,XFMR-F.DMD.INST,ElectricityDemand,341,,Y,,,,15,-1
1184,FACTOR_15-960.XFMR-E.DMD.INST_CV,FACTOR,15-960,XFMR-E.DMD.INST,ElectricityDemand,341,,Y,,,,15,-1
1185,FRANZ_C421-XFMR-B.DMD.INST_CV,FRANZ_HALL,C421,XFMR-B.DMD.INST,ElectricityDemand,346,,Y,,,,15,-1
1186,FRANZ_C421-XFMR-A.DMD.INST_CV,FRANZ_HALL,C421,XFMR-A.DMD.INST,ElectricityDemand,346,,Y,,,,15,-1
1187,FRANZ_C358B-XFMR-D.DMD.INST_CV,FRANZ_HALL,C358B,XFMR-D.DMD.INST,ElectricityDemand,346,,Y,,,,15,-1
